District_1,County,Enrollment_1,PercentFreeorReducedLunch,SumofAmountofBondTax,BondAmountPerStudent
Sierra Sands Unified,Kern,5085,60.8,50500000,9931
Lake Tahoe Unified,El Dorado,3906,60.7,81500000,20865
Kingsburg Elementary Charter,Fresno,2232,60.6,17500000,7841
Red Bluff Joint Union High,Tehama,1650,60.2,26000000,15758
Cloverdale Unified,Sonoma,1440,60.1,21000000,14583
Grass Valley Elementary,Nevada,1721,60.1,18800000,10924
McKinleyville Union Elementary,Humboldt,1166,59.9,14000000,12007
Owens Valley Unified,Inyo,92,59.8,2600000,28261
Sweetwater Union High,San Diego,40737,59.8,733354000,18002
Trinidad Union Elementary,Humboldt,211,59.7,2200000,10427
Escondido Union High,San Diego,9480,59.7,98000000,10338
Monrovia Unified,Los Angeles,5563,59.5,45000000,8089
Linden Unified,San Joaquin,2252,59.4,11500000,5107
San Diego Unified,San Diego,126400,59.3,6410000000,50712
Pasadena Unified,Los Angeles,18164,59.3,350000000,19269
Leggett Valley Unified,Mendocino,127,59.1,1750000,13780
La Mesa-Spring Valley,San Diego,12583,59.1,44000000,3497
Jefferson Elementary,San Mateo,6821,59,119500000,17519
Evergreen Union,Tehama,1225,59,18400000,15020
Bass Lake Joint Union Elementary,Madera,898,58.9,15000000,16704
Oceanside Unified,San Diego,20459,58.8,320000000,15641
Centralia Elementary,Orange,4327,58.6,66500000,15369
Redlands Unified,San Bernardino,21261,58.6,125500000,5903
Mother Lode Union Elementary,El Dorado,1064,58.5,7500000,7049
Fairfield-Suisun Unified,Solano,21539,58.3,349000000,16203
Mariposa County Unified,Mariposa,1816,58.3,24000000,13216
Geyserville Unified,Sonoma,237,58.2,3250000,13713
Pacheco Union Elementary,Shasta,635,58,11000000,17323
Hilmar Unified,Merced,2387,57.9,2000000,838
Fall River Joint Unified,Shasta,1209,57.7,4400000,3639
Southern Humboldt Joint Unified,Humboldt,789,57.5,35200000,44613
Galt Joint Union High,Sacramento,2184,57.5,65200000,29853
Siskiyou Union High,Siskiyou,542,57.4,12500000,23063
Helendale Elementary,San Bernardino,3221,57.4,20000000,6209
Charter Oak Unified,Los Angeles,4765,57.1,77000000,16159
San Antonio Union Elementary,Monterey,147,57.1,2100000,14286
Live Oak Elementary,Santa Cruz,2036,57.1,14500000,7122
Beaumont Unified,Riverside,10337,56.8,141000000,13640
Susanville Elementary,Lassen,1116,56.8,9000000,8065
Hughson Unified,Stanislaus,2052,56.5,19700000,9600
Upland Unified,San Bernardino,10913,56.5,103000000,9438
Mountain Empire Unified,San Diego,3163,56.3,3200000,1012
Eastern Sierra Unified,Mono,417,55.9,11100000,26619
Dixon Unified,Solano,3652,55.8,59600000,16320
Big Oak Flat-Groveland Unified,Tuolumne,287,55.7,18600000,64808
Calaveras Unified,Calaveras,2870,55.7,13500000,4704
River Delta Joint Unified,Sacramento,2322,55.6,23000000,9905
Gilroy Unified,Santa Clara,11834,55.3,389000000,32871
Banta Elementary,San Joaquin,851,55.3,800000,940
Galt Joint Union Elementary,Sacramento,3639,55,28940000,7953
Placerville Union Elementary,El Dorado,1281,55,9600000,7494
Plumas Unified,Plumas,2147,54.9,65000000,30275
Mammoth Unified,Mono,1200,54.8,63100000,52583
Bishop Unified,Inyo,1951,54.7,3000000,1538
Linns Valley-Poso Flat Union,Kern,22,54.5,340000,15455
Pacific Union Elementary,Humboldt,587,54.5,8100000,13799
Julian Union High,San Diego,131,54.2,2100000,16031
Chawanakee Unified,Madera,1086,54.2,9000000,8287
Buttonwillow Union Elementary,Kern,344,54.1,6500000,18895
Solvang Elementary,Santa Barbara,600,54,11650000,19417
Anderson Union High,Shasta,1779,54,12300000,6914
Elk Grove Unified,Sacramento,63297,53.9,476000000,7520
Rim of the World Unified,San Bernardino,3348,53.9,23340000,6971
Ferndale Unified,Humboldt,499,53.9,1100000,2204
Healdsburg Unified,Sonoma,1531,53.8,124810000,81522
Grossmont Union High,San Diego,21492,53.7,819000000,38107
San Benito High,San Benito,3066,53.7,102500000,33431
Sulphur Springs Union,Los Angeles,5395,53.5,72000000,13346
East Side Union High,Santa Clara,27263,53.4,1470200000,53927
San Juan Unified,Sacramento,50044,53.4,1607000000,32112
East Whittier City Elementary,Los Angeles,8650,53.4,94000000,10867
Sylvan Union Elementary,Stanislaus,8332,53.4,40000000,4801
Arcata Elementary,Humboldt,1087,53,15800000,14535
Tracy Joint Unified,San Joaquin,16237,53,176100000,10846
Oak View Union Elementary,San Joaquin,402,53,3700000,9204
Piner-Olivet Union Elementary,Sonoma,1358,52.9,20000000,14728
Pollock Pines Elementary,El Dorado,701,52.8,9000000,12839
Brittan Elementary,Sutter,458,52.8,4000000,8734
Valley Home Joint Elementary,Stanislaus,167,52.7,1400000,8383
Springville Union Elementary,Tulare,331,52.6,2200000,6647
Chula Vista Elementary,San Diego,30120,52.6,185000000,6142
Howell Mountain Elementary,Napa,99,52.5,2900000,29293
Fortuna Union High,Humboldt,1080,52.4,11500000,10648
Lemoore Union High,Kings,2204,52.3,29500000,13385
Fieldbrook Elementary,Humboldt,151,52.3,450000,2980
